Table 5,,,,,,,,,,,,,,,Table 5,,,,,,,,,,,,,,
"Historical Oil, Natural Gas Liquids and Sulphur Prices",,,,,,,,,,,,,,,Historical Natural Gas Prices,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,$Cdn/MMBtu,,,,,,,,,,,,,,
,Light Oil,,,,,Heavy & Medium Oil,,,Natural Gas Liquids and Sulphur,,,,,,,,,,,,,Henry,,,,,,,
,WTI,Edmonton,SCO,Cromer,Brent,Hardisty,,Hardisty,,,,,,,,,Alberta,,,B.C. ,,Hub,,,,,,,
,Cushing,Par Price,at Edmonton,LSB,UK,Heavy,WCS,Bow River,,,,,,Exchange,Exchange,Alberta,30 day,,B.C. ,30 day,,NYMEX,IPE,,,,,,
,Oklahoma,40 API,32 API,35 API,38 API,12 API,20.5 API,24.9 API,Ethane*,Propane,Butane,Pentane,Sulphur,Rate,Rate,Gov't,Spot,,Westcoast,Spot,,Close ,Britain NBP,,,,,,
Month,$US/bbl,   $/bbl,   $/bbl,   $/bbl,$US/bbl,   $/bbl,$/Bbl,   $/bbl,$/Bbl,$/bbl,$/bbl,$/bbl,$/LT,$US/$Cdn,$US/£UK,Ref.Price,AECO,Alliance**,Station 2,Sumas,Dawn,$US/MMbtu,£/Mmbtu,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-95,17.99,24.31,,,16.63,17.80,,21.44,,13.10,16.52,24.17,39.91,0.7078,,1.47,1.24,,,,,1.64,,,,,,,
Feb-95,18.51,24.94,,,17.08,18.56,,22.06,,12.70,16.52,24.79,33.13,0.7140,,1.32,0.96,,,,,1.50,,,,,,,
Mar-95,18.56,25.09,,,16.92,19.17,,22.51,,12.70,15.56,25.06,17.53,0.7105,,1.27,0.96,,,,,1.43,,,,,,,
Apr-95,19.87,26.37,,,18.67,20.86,,24.10,,12.70,14.93,26.31,29.22,0.7270,,1.25,1.08,,,,,1.57,,,,,,,
May-95,19.74,25.84,,,18.44,20.96,,22.77,,12.70,14.61,25.78,34.03,0.7351,,1.32,1.29,,,,,1.67,,,,,,,
Jun-95,18.42,24.40,,,17.39,19.39,,21.10,,12.70,13.50,24.35,31.45,0.7261,,1.34,1.30,,,,,1.76,,,,,,,
Jul-95,17.31,22.52,,,15.85,17.63,,19.58,,13.49,12.55,22.46,38.78,0.7349,,1.16,1.11,,,,,1.50,,,,,,,
Aug-95,18.00,23.21,,,16.03,18.33,,20.32,,15.08,12.55,23.13,38.61,0.7379,,1.13,1.03,,,,,1.39,,,,,,,
Sep-95,18.22,23.75,,,16.78,17.28,,19.78,,15.08,12.23,23.69,29.20,0.7408,,1.27,1.09,,,,,1.56,,,,,,,
Oct-95,17.45,22.49,,,16.06,13.08,,17.95,,15.63,12.63,22.44,29.00,0.7435,,1.32,1.17,,,,,1.64,,,,,,,
Nov-95,17.96,23.40,,,16.80,11.87,,18.14,,15.63,13.02,23.31,11.55,0.7392,,1.36,1.28,,,,,1.77,,,,,,,
Dec-95,19.04,25.09,,,17.91,12.21,,19.79,,18.25,13.34,24.99,35.47,0.7302,,1.47,1.31,,,,,2.24,,,,,,,
Average '95,18.42,24.28,,,17.05,17.26,,20.80,,14.15,14.00,24.21,30.66,0.7289,,1.31,1.15,,,,,1.64,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-96,18.88,24.63,,,17.83,12.73,,19.50,,19.84,14.29,25.54,25.97,0.7318,,1.71,1.42,,,,,3.45,,,,,,,
Feb-96,19.07,24.95,,,17.90,13.83,,20.16,,20.63,14.29,24.95,26.33,0.7270,,1.70,1.56,,,,,2.34,,,,,,,
Mar-96,21.30,28.10,,,19.87,19.14,,24.00,,19.05,14.29,28.13,28.51,0.7325,,1.69,1.52,,,,,2.75,,,,,,,
Apr-96,23.55,31.19,,,20.86,23.19,,27.14,,16.98,13.98,31.25,16.71,0.7356,,1.59,1.37,,,,,2.78,,,,,,,
May-96,21.25,28.34,,,19.13,21.11,,24.99,,16.98,13.50,28.45,21.69,0.7305,,1.49,1.24,,,,,2.21,,,,,,,
Jun-96,20.41,27.24,,,18.42,20.98,,24.22,,17.30,13.50,27.33,10.04,0.7325,,1.44,1.14,,,,,2.36,,,,,,,
Jul-96,21.31,28.51,,,19.57,21.92,,25.13,,17.78,14.29,28.61,16.10,0.7303,,1.46,1.14,,,,,2.65,,,,,,,
Aug-96,21.98,29.56,,,20.47,22.55,,25.93,,19.37,15.09,29.66,8.09,0.7290,,1.46,1.23,,,,,2.32,,,,,,,
Sep-96,23.99,32.25,,,22.56,24.66,,28.52,,23.02,19.37,32.36,7.04,0.7304,,1.27,1.20,,,,,1.85,,,,,,,
Oct-96,24.90,33.17,,,24.14,23.63,,28.72,,25.08,21.60,33.46,5.70,0.7407,,1.35,1.23,,,,,1.83,,,,,,,
Nov-96,23.70,30.96,,,22.67,18.27,,25.60,,30.16,23.50,31.27,2.87,0.7471,,1.89,1.54,,,,,2.65,,,,,,,
Dec-96,25.25,33.62,,,23.73,18.68,,27.36,,39.68,27.79,33.94,4.20,0.7343,,2.49,2.08,,,,,3.90,,,,,,,
Average '96,22.13,29.38,,,20.60,20.06,,25.11,,22.16,17.13,29.58,14.44,0.7335,,1.63,1.39,,,,,2.59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-97,25.17,33.42,,,23.54,19.23,,27.21,,33.17,26.64,33.81,14.62,0.7415,,2.92,2.27,,,5.28,,4.00,,,,,,,
Feb-97,22.21,29.66,,,20.97,15.81,,23.05,,20.56,22.23,29.98,5.83,0.7376,,2.40,2.68,,2.75,3.29,,2.99,,,,,,,
Mar-97,21.03,28.22,,,19.20,14.76,,23.20,,18.57,19.06,28.87,11.01,0.7291,,1.47,1.69,,1.32,1.47,,1.78,,,,,,,
Apr-97,19.68,26.92,,,17.60,13.38,,20.37,,17.14,17.95,28.87,16.79,0.7170,,1.52,1.54,,1.46,1.59,,1.81,,,,,,,
May-97,20.84,28.33,,,19.01,15.12,,21.27,,16.98,15.88,28.99,13.85,0.7247,,1.66,1.84,,1.79,1.88,,2.12,,,,,,,
Jun-97,19.20,26.01,,,17.67,13.65,,19.32,,16.98,17.31,26.58,10.19,0.7223,,1.74,1.78,,0.00,1.85,,2.35,,,,,,,
Jul-97,19.60,26.38,,,18.41,15.01,,20.29,,16.59,16.36,26.94,12.65,0.7262,,1.68,1.63,,1.62,1.68,,2.15,,,,,,,
Aug-97,19.94,27.03,,,18.63,15.62,,21.27,,16.31,17.47,27.90,9.01,0.7193,,1.66,1.55,,1.51,1.54,,2.16,,,,,,,
Sep-97,19.77,26.73,,,18.41,14.99,,20.89,,17.46,19.22,28.33,16.69,0.7211,,1.82,1.57,,1.59,1.65,,2.52,,,,,,,
Oct-97,21.31,28.80,,,19.94,15.85,,22.06,,17.46,19.85,30.75,11.93,0.7211,,2.18,1.79,,1.90,2.07,,3.35,,,,,,,
Nov-97,20.11,27.80,,,19.22,11.56,,19.56,,16.79,19.85,30.32,12.23,0.7076,,2.50,2.06,,2.44,3.90,,3.27,,,,,,,
Dec-97,18.32,26.33,,,17.18,7.19,,16.59,,14.76,16.83,27.95,6.79,0.7008,,2.06,1.77,,1.77,2.08,,2.58,,,,,,,
Average '97,20.60,27.97,,,19.15,14.35,,21.26,,18.56,19.05,29.11,11.80,0.7224,,1.97,1.85,,1.35,2.36,,2.59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-98,16.74,23.33,,,15.10,5.94,,14.64,,12.70,14.61,25.31,13.17,0.6940,,1.90,1.61,,1.53,2.60,,2.31,,,,,,,
Feb-98,16.08,22.28,,,14.04,5.61,,13.82,,12.70,14.61,24.33,5.18,0.6987,,1.82,1.58,,1.69,2.06,,2.00,,,,,,,
